q,idx,orbit,type,rho,S,delta,firstHole
23,150,506,NMDS,4,"0,1,10,11,12,19",19,"1,18,6,6"
23,151,506,MDS,4,"0,1,10,11,12,19",2,"1,18,6,6"
23,152,506,NMDS,4,"0,1,10,11,12,19",20,"1,1,6,6"
23,153,506,NMDS,4,"0,1,10,11,12,19",21,"1,1,6,6"
23,154,506,NMDS,4,"0,1,10,11,12,19",22,"1,18,6,6"
23,155,506,MDS,4,"0,1,10,11,12,19",3,"1,9,8,8"
23,156,506,MDS,4,"0,1,10,11,12,19",4,"1,18,6,6"
23,157,506,MDS,4,"0,1,10,11,12,19",5,"1,18,6,6"
23,158,506,NMDS,4,"0,1,10,11,12,19",6,"1,18,6,6"
23,159,506,NMDS,4,"0,1,10,11,12,19",7,"1,18,6,6"
23,160,506,NMDS,4,"0,1,10,11,12,19",8,"1,1,13,12"
23,161,506,NMDS,4,"0,1,10,11,12,19",9,"1,18,6,6"
23,162,506,NMDS,4,"0,1,10,11,12,20",0,"1,1,8,8"
23,163,506,NMDS,4,"0,1,10,11,12,20",1,"1,1,8,8"
23,164,506,NMDS,4,"0,1,10,11,12,20",10,"1,1,8,8"
23,165,506,NMDS,4,"0,1,10,11,12,20",11,"1,1,8,8"
23,166,506,NMDS,4,"0,1,10,11,12,20",12,"1,18,6,6"
23,167,506,NMDS,4,"0,1,10,11,12,20",13,"1,1,8,8"
23,168,506,MDS,4,"0,1,10,11,12,20",14,"1,7,22,15"
23,169,506,MDS,4,"0,1,10,11,12,20",15,"1,18,6,6"
23,170,506,MDS,4,"0,1,10,11,12,20",16,"1,1,8,8"
23,171,506,MDS,4,"0,1,10,11,12,20",17,"1,8,18,18"
23,172,506,NMDS,4,"0,1,10,11,12,20",18,"1,1,8,8"
23,173,506,NMDS,4,"0,1,10,11,12,20",19,"1,2,16,16"
23,174,506,MDS,4,"0,1,10,11,12,20",2,"1,1,8,8"
23,175,506,NMDS,4,"0,1,10,11,12,20",20,"1,1,8,8"
23,176,506,NMDS,4,"0,1,10,11,12,20",21,"1,4,16,16"
23,177,506,NMDS,4,"0,1,10,11,12,20",22,"1,1,8,8"
23,178,506,MDS,4,"0,1,10,11,12,20",3,"1,8,18,18"
23,179,506,MDS,4,"0,1,10,11,12,20",4,"1,17,8,8"
23,180,506,MDS,4,"0,1,10,11,12,20",5,"1,18,6,6"
23,181,506,MDS,4,"0,1,10,11,12,20",6,"1,1,8,8"
23,182,506,NMDS,4,"0,1,10,11,12,20",7,"1,17,10,10"
23,183,506,NMDS,4,"0,1,10,11,12,20",8,"1,8,18,18"
23,184,506,NMDS,4,"0,1,10,11,12,20",9,"1,10,14,14"
23,185,506,NMDS,4,"0,1,10,11,12,21",0,"1,18,18,6"
23,186,506,NMDS,4,"0,1,10,11,12,21",1,"1,1,8,8"
23,187,506,NMDS,4,"0,1,10,11,12,21",10,"1,1,8,8"
23,188,506,NMDS,4,"0,1,10,11,12,21",11,"1,9,3,3"
23,189,506,NMDS,4,"0,1,10,11,12,21",12,"1,19,14,14"
23,190,506,NMDS,4,"0,1,10,11,12,21",13,"1,1,8,8"
23,191,506,MDS,4,"0,1,10,11,12,21",14,"1,1,8,8"
23,192,506,MDS,4,"0,1,10,11,12,21",15,"1,9,3,3"
23,193,506,MDS,4,"0,1,10,11,12,21",16,"1,1,8,8"
23,194,506,MDS,4,"0,1,10,11,12,21",17,"1,9,8,8"
23,195,506,MDS,4,"0,1,10,11,12,21",18,"1,1,8,8"
23,196,506,NMDS,4,"0,1,10,11,12,21",19,"1,19,14,14"
23,197,506,MDS,4,"0,1,10,11,12,21",2,"1,19,14,14"
23,198,506,NMDS,4,"0,1,10,11,12,21",20,"1,1,8,8"
23,199,506,NMDS,4,"0,1,10,11,12,21",21,"1,17,10,10"
23,200,506,NMDS,4,"0,1,10,11,12,21",22,"1,1,8,8"
23,201,506,MDS,4,"0,1,10,11,12,21",3,"1,19,14,14"
23,202,506,MDS,4,"0,1,10,11,12,21",4,"1,1,8,8"
23,203,506,MDS,4,"0,1,10,11,12,21",5,"1,17,21,21"
23,204,506,MDS,4,"0,1,10,11,12,21",6,"1,19,14,14"
23,205,506,MDS,4,"0,1,10,11,12,21",7,"1,9,8,8"
23,206,506,NMDS,4,"0,1,10,11,12,21",8,"1,9,8,8"
23,207,506,NMDS,4,"0,1,10,11,12,21",9,"1,1,8,8"
23,208,506,NMDS,4,"0,1,10,11,12,22",0,"1,9,3,3"
23,209,506,NMDS,4,"0,1,10,11,12,22",1,"1,9,3,3"
23,210,506,NMDS,4,"0,1,10,11,12,22",11,"1,1,8,8"
23,211,506,NMDS,4,"0,1,10,11,12,22",12,"1,1,8,8"
23,212,506,NMDS,4,"0,1,10,11,12,22",13,"1,8,18,18"
23,213,506,MDS,4,"0,1,10,11,12,22",14,"1,16,18,18"
23,214,506,MDS,4,"0,1,10,11,12,22",15,"1,8,18,18"
23,215,506,MDS,4,"0,1,10,11,12,22",16,"1,9,3,3"
23,216,506,MDS,4,"0,1,10,11,12,22",2,"1,4,9,9"
23,217,506,MDS,4,"0,1,10,11,12,22",3,"1,1,8,8"
23,218,506,MDS,4,"0,1,10,11,12,22",4,"1,9,3,3"
23,219,253,MDS,4,"0,1,10,11,12,22",5,"1,9,3,3"
23,220,506,NMDS,4,"0,1,10,11,13,14",0,"1,1,12,12"
23,221,506,NMDS,4,"0,1,10,11,13,14",1,"1,1,12,12"
23,222,506,MDS,4,"0,1,10,11,13,14",10,"1,15,12,12"
23,223,506,NMDS,4,"0,1,10,11,13,14",11,"1,1,12,12"
23,224,506,NMDS,4,"0,1,10,11,13,14",12,"1,1,12,12"
23,225,253,MDS,4,"0,1,10,11,13,14",13,"1,1,13,12"
23,226,506,MDS,4,"0,1,10,11,13,14",17,"1,15,12,12"
23,227,506,MDS,4,"0,1,10,11,13,14",18,"1,15,12,12"
23,228,506,MDS,4,"0,1,10,11,13,14",19,"1,1,12,12"
23,229,506,MDS,4,"0,1,10,11,13,14",20,"1,12,6,6"
23,230,506,NMDS,4,"0,1,10,11,13,14",21,"1,20,10,10"
23,231,506,NMDS,4,"0,1,10,11,13,14",22,"1,12,6,6"
23,232,506,NMDS,4,"0,1,10,11,13,15",0,"1,13,12,12"
23,233,506,NMDS,4,"0,1,10,11,13,15",1,"1,13,12,12"
23,234,506,MDS,4,"0,1,10,11,13,15",10,"1,15,12,12"
23,235,506,NMDS,4,"0,1,10,11,13,15",11,"1,13,12,12"
23,236,506,NMDS,4,"0,1,10,11,13,15",12,"1,14,12,12"
23,237,506,NMDS,4,"0,1,10,11,13,15",13,"1,19,14,14"
23,238,506,NMDS,4,"0,1,10,11,13,15",14,"1,13,12,12"
23,239,506,NMDS,4,"0,1,10,11,13,15",15,"1,18,6,6"
23,240,506,NMDS,4,"0,1,10,11,13,15",16,"1,13,12,12"
23,241,506,MDS,4,"0,1,10,11,13,15",17,"1,13,12,12"
23,242,506,MDS,4,"0,1,10,11,13,15",18,"1,1,14,14"
23,243,506,MDS,4,"0,1,10,11,13,15",19,"1,13,12,12"
23,244,506,NMDS,4,"0,1,10,11,13,15",2,"1,13,12,12"
23,245,506,MDS,4,"0,1,10,11,13,15",20,"1,18,6,6"
23,246,506,NMDS,4,"0,1,10,11,13,15",21,"1,15,12,12"
23,247,506,NMDS,4,"0,1,10,11,13,15",22,"1,19,14,14"
23,248,506,NMDS,4,"0,1,10,11,13,15",3,"1,13,12,12"
23,249,506,NMDS,4,"0,1,10,11,13,15",4,"1,20,20,10"
23,250,506,NMDS,4,"0,1,10,11,13,15",5,"1,13,12,12"
23,251,506,NMDS,4,"0,1,10,11,13,15",6,"1,13,12,12"
23,252,506,MDS,4,"0,1,10,11,13,15",7,"1,18,6,6"
23,253,506,MDS,4,"0,1,10,11,13,15",8,"1,19,14,14"
23,254,506,MDS,4,"0,1,10,11,13,15",9,"1,18,6,6"
23,255,506,NMDS,4,"0,1,10,11,13,16",0,"1,14,12,12"
23,256,506,NMDS,4,"0,1,10,11,13,16",1,"1,1,12,12"
23,257,506,MDS,4,"0,1,10,11,13,16",10,"1,21,22,22"
23,258,506,NMDS,4,"0,1,10,11,13,16",11,"1,1,12,12"
23,259,506,NMDS,4,"0,1,10,11,13,16",12,"1,21,22,22"
23,260,506,MDS,4,"0,1,10,11,13,16",13,"1,12,6,6"
23,261,506,NMDS,4,"0,1,10,11,13,16",14,"1,1,12,12"
23,262,506,MDS,4,"0,1,10,11,13,16",15,"1,1,12,12"
23,263,506,NMDS,4,"0,1,10,11,13,16",16,"1,14,12,12"
23,264,506,NMDS,4,"0,1,10,11,13,16",17,"1,14,12,12"
23,265,506,MDS,4,"0,1,10,11,13,16",18,"1,1,12,12"
23,266,506,MDS,4,"0,1,10,11,13,16",19,"1,1,12,12"
23,267,506,NMDS,4,"0,1,10,11,13,16",2,"1,1,12,12"
23,268,506,MDS,4,"0,1,10,11,13,16",20,"1,18,8,8"
23,269,506,NMDS,4,"0,1,10,11,13,16",21,"1,1,12,12"
23,270,506,NMDS,4,"0,1,10,11,13,16",22,"1,17,8,8"
23,271,506,NMDS,4,"0,1,10,11,13,16",3,"1,12,6,6"
23,272,506,NMDS,4,"0,1,10,11,13,16",4,"1,1,12,12"
23,273,506,NMDS,4,"0,1,10,11,13,16",5,"1,12,6,6"
23,274,506,NMDS,4,"0,1,10,11,13,16",6,"1,1,12,12"
23,275,506,NMDS,4,"0,1,10,11,13,16",7,"1,16,17,17"
23,276,506,MDS,4,"0,1,10,11,13,16",8,"1,12,6,6"
23,277,506,MDS,4,"0,1,10,11,13,16",9,"1,12,1,12"
23,278,506,NMDS,4,"0,1,10,11,13,17",0,"1,1,8,8"
23,279,506,NMDS,4,"0,1,10,11,13,17",1,"1,12,6,6"
23,280,506,MDS,4,"0,1,10,11,13,17",10,"1,20,10,10"
23,281,506,NMDS,4,"0,1,10,11,13,17",11,"1,20,4,4"
23,282,506,NMDS,4,"0,1,10,11,13,17",12,"1,12,6,6"
23,283,506,MDS,4,"0,1,10,11,13,17",13,"1,20,10,10"
23,284,506,NMDS,4,"0,1,10,11,13,17",14,"1,12,6,6"
23,285,506,NMDS,4,"0,1,10,11,13,17",15,"1,20,10,10"
23,286,506,MDS,4,"0,1,10,11,13,17",16,"1,20,10,10"
23,287,506,NMDS,4,"0,1,10,11,13,17",17,"1,9,3,3"
23,288,506,NMDS,4,"0,1,10,11,13,17",18,"1,12,6,6"
23,289,506,MDS,4,"0,1,10,11,13,17",19,"1,13,12,12"
23,290,506,NMDS,4,"0,1,10,11,13,17",2,"1,7,6,6"
23,291,506,MDS,4,"0,1,10,11,13,17",20,"1,12,6,6"
23,292,506,NMDS,4,"0,1,10,11,13,17",21,"1,12,6,6"
23,293,506,NMDS,4,"0,1,10,11,13,17",22,"1,6,3,3"
23,294,506,MDS,4,"0,1,10,11,13,17",3,"1,12,6,6"
23,295,506,NMDS,4,"0,1,10,11,13,17",4,"1,20,10,10"
23,296,506,NMDS,4,"0,1,10,11,13,17",5,"1,12,6,6"
23,297,506,NMDS,4,"0,1,10,11,13,17",6,"1,20,10,10"
23,298,506,NMDS,4,"0,1,10,11,13,17",7,"1,20,10,10"
23,299,506,NMDS,4,"0,1,10,11,13,17",8,"1,10,20,10"
23,300,506,MDS,4,"0,1,10,11,13,17",9,"1,6,3,3"
23,301,506,NMDS,4,"0,1,10,11,13,18",0,"1,14,7,7"
23,302,506,NMDS,4,"0,1,10,11,13,18",1,"1,1,12,12"
23,303,506,MDS,4,"0,1,10,11,13,18",10,"1,19,21,21"
23,304,506,NMDS,4,"0,1,10,11,13,18",11,"1,14,7,7"
23,305,506,NMDS,4,"0,1,10,11,13,18",12,"1,12,1,12"
23,306,506,MDS,4,"0,1,10,11,13,18",13,"1,1,12,12"
23,307,506,NMDS,4,"0,1,10,11,13,18",14,"1,14,7,7"
23,308,506,MDS,4,"0,1,10,11,13,18",15,"1,14,7,7"
23,309,506,NMDS,4,"0,1,10,11,13,18",16,"1,1,12,12"
23,310,506,MDS,4,"0,1,10,11,13,18",17,"1,9,21,21"
23,311,506,NMDS,4,"0,1,10,11,13,18",18,"1,1,12,12"
23,312,506,NMDS,4,"0,1,10,11,13,18",19,"1,1,12,12"
23,313,506,NMDS,4,"0,1,10,11,13,18",2,"1,1,12,12"
23,314,506,MDS,4,"0,1,10,11,13,18",20,"1,1,12,12"
23,315,506,NMDS,4,"0,1,10,11,13,18",21,"1,1,8,8"
23,316,506,NMDS,4,"0,1,10,11,13,18",22,"1,1,12,12"
23,317,506,MDS,4,"0,1,10,11,13,18",3,"1,3,7,7"
23,318,506,MDS,4,"0,1,10,11,13,18",4,"1,1,12,12"
23,319,506,NMDS,4,"0,1,10,11,13,18",5,"1,14,7,7"
23,320,506,NMDS,4,"0,1,10,11,13,18",6,"1,1,12,12"
23,321,506,NMDS,4,"0,1,10,11,13,18",7,"1,14,7,7"
23,322,506,NMDS,4,"0,1,10,11,13,18",8,"1,21,7,7"
23,323,506,NMDS,4,"0,1,10,11,13,18",9,"1,1,12,12"
23,324,506,NMDS,4,"0,1,10,11,13,19",0,"1,17,8,8"
23,325,506,NMDS,4,"0,1,10,11,13,19",1,"1,18,6,6"
23,326,506,NMDS,4,"0,1,10,11,13,19",10,"1,15,12,12"
23,327,506,NMDS,4,"0,1,10,11,13,19",11,"1,18,6,6"
23,328,506,NMDS,4,"0,1,10,11,13,19",12,"1,9,3,3"
23,329,506,MDS,4,"0,1,10,11,13,19",13,"1,5,17,17"
23,330,506,NMDS,4,"0,1,10,11,13,19",14,"1,18,6,6"
23,331,506,MDS,4,"0,1,10,11,13,19",15,"1,19,14,14"
23,332,506,MDS,4,"0,1,10,11,13,19",16,"1,19,14,14"
23,333,506,NMDS,4,"0,1,10,11,13,19",17,"1,4,10,10"
23,334,506,MDS,4,"0,1,10,11,13,19",18,"1,1,10,10"
23,335,506,NMDS,4,"0,1,10,11,13,19",19,"1,19,14,14"
23,336,506,NMDS,4,"0,1,10,11,13,19",2,"1,19,14,14"
23,337,506,NMDS,4,"0,1,10,11,13,19",20,"1,18,6,6"
23,338,506,NMDS,4,"0,1,10,11,13,19",21,"1,18,6,6"
23,339,506,NMDS,4,"0,1,10,11,13,19",22,"1,18,6,6"
23,340,506,MDS,4,"0,1,10,11,13,19",3,"1,1,14,14"
23,341,506,MDS,4,"0,1,10,11,13,19",4,"1,18,6,6"
23,342,506,MDS,4,"0,1,10,11,13,19",5,"1,14,1,12"
23,343,506,NMDS,4,"0,1,10,11,13,19",6,"1,18,6,6"
23,344,506,NMDS,4,"0,1,10,11,13,19",7,"1,18,6,6"
23,345,506,NMDS,4,"0,1,10,11,13,19",8,"1,9,3,3"
23,346,506,NMDS,4,"0,1,10,11,13,19",9,"1,18,6,6"
23,347,506,NMDS,4,"0,1,10,11,13,20",0,"1,5,14,14"
23,348,506,NMDS,4,"0,1,10,11,13,20",1,"1,5,14,14"
23,349,506,NMDS,4,"0,1,10,11,13,20",10,"1,20,10,10"
23,350,506,NMDS,4,"0,1,10,11,13,20",11,"1,20,10,10"
23,351,506,NMDS,4,"0,1,10,11,13,20",12,"1,17,4,4"
23,352,506,MDS,4,"0,1,10,11,13,20",13,"1,5,14,14"
23,353,506,NMDS,4,"0,1,10,11,13,20",14,"1,19,6,6"
23,354,506,MDS,4,"0,1,10,11,13,20",15,"1,20,10,10"
23,355,506,MDS,4,"0,1,10,11,13,20",16,"1,6,14,14"
23,356,506,MDS,4,"0,1,10,11,13,20",17,"1,6,14,14"
23,357,506,NMDS,4,"0,1,10,11,13,20",18,"1,5,14,14"
23,358,506,MDS,4,"0,1,10,11,13,20",19,"1,5,14,14"
23,359,506,NMDS,4,"0,1,10,11,13,20",2,"1,5,14,14"
23,360,506,NMDS,4,"0,1,10,11,13,20",20,"1,19,6,6"
23,361,506,NMDS,4,"0,1,10,11,13,20",21,"1,20,10,10"
23,362,506,NMDS,4,"0,1,10,11,13,20",22,"1,5,14,14"
23,363,506,MDS,4,"0,1,10,11,13,20",3,"1,5,14,14"
23,364,506,MDS,4,"0,1,10,11,13,20",4,"1,5,14,14"
23,365,506,MDS,4,"0,1,10,11,13,20",5,"1,20,10,10"
23,366,506,MDS,4,"0,1,10,11,13,20",6,"1,5,14,14"
23,367,506,NMDS,4,"0,1,10,11,13,20",7,"1,5,5,14"
23,368,506,NMDS,4,"0,1,10,11,13,20",8,"1,5,14,14"
23,369,506,NMDS,4,"0,1,10,11,13,20",9,"1,5,14,14"
23,370,506,NMDS,4,"0,1,10,11,13,21",0,"1,10,20,10"
